restaurant_name,area,ratings,no_of_ratings_greater_than_equal_to,item_name,item_category,item_price,item_description,bestseller_tag
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Hashbrown,Recommended,29.0,What every potato wants to be.,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,King Egg Burger,Recommended,60.0,No description available,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,King Egg Double Patty Burger,Recommended,80.0,No description available,1
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,King Egg with Cheese,Recommended,80.0,No description available,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,King Egg Wrap,Recommended,80.0,"A fresh and fluffy  egg patty loaded with juicy veggies, topped with a delightful spicy sauce, wrapped in a grilled paratha",0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Cheese Melt Down Burger,Recommended,169.0,"Cheese oozing spicy veg patty, veggies and creamy sauce. An indulgent treat from our King's Collection!",0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Fiery Chicken Burger,Recommended,179.0,"Too Hot to Handle. Our Spicy & Crunchy Chicken Patty topped with crispy lettuce, juicy tomatoes and creamy sauce with our unique corn dust buns. An indulgent treat from our King's Collection!",1
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Anytime Combo (Veg),Recommended,476.0,2 Crispy Veg Double Patty+ 1 King Peri Peri Fries + 1 Veggie Strips + 2 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Anytime Combo (Chicken),Recommended,594.0,2 Crispy Chicken Double Patty + 1King Peri Peri Fries + 1 Chicken Fries + 2 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,WFH Combo (Veg),Recommended,694.0,2Veg Whopper + 1King Peri Peri Fries + 1 Veggie Strips +1 Chocolate Shake +1 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Mini Treat Combo (Chicken),Recommended,673.0,1 Classic Chicken + 2 Crispy Chicken Double Patty + 1 King Fries + 1Chicken Fries + 2 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Crispy Chicken Double Patty + Crispy Chicken Double Patty,Recommended,238.0,Crispy Chicken Double Patty + Crispy Chicken Double Patty,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Chicken Whopper + Chicken Whopper,Recommended,358.0,Chicken Whopper + Chicken Whopper,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,2 Lite Whopper Jr Chicken + 1 King Fries+ 1 Chicken Fries,Recommended,416.0,2 Lite Whopper Jr Chicken + 1 King Fries+ 1 Chicken Fries,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,2 Crispy Chicken Double Patty + 1King Fries + 1 Chicken Fries,Recommended,416.0,2 Crispy Chicken Double Patty + 1King Fries + 1 Chicken Fries,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,2 Crispy Veg Double Patty + 1King Fries + 1Veggie strips,Recommended,298.0,2 Crispy Veg Double Patty + 1King Fries + 1Veggie strips,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,2 Lite Whopper Jr Veg + 1 King Fries + 1 Veggie strips,Recommended,366.0,2 Lite Whopper Jr Veg + 1 King Fries + 1 Veggie strips,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Chocolate Mousse Cup,Recommended,109.0,Airy and creamy chocolate mousse topped with chocolate ganache and choco chips,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Hashbrown,Recommended,29.0,What every potato wants to be.,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Veggie Strips - 5 Pcs,Recommended,49.0,Vegetarian's favourite finger food.,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,King Fries,Recommended,99.0,The perfect crispy partner.,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Cheesy Fries,Recommended,109.0,"Crispy french fries, loads of cheese, yum!",0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Chocolate Thick Shake,Recommended,149.0,Our signature chocolate thick shake.,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Boneless Wings Large,Recommended,249.0,7pcs Boneless Chicken Bites,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Hashbrown,Breakfast With BK,29.0,What every potato wants to be.,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,King Egg Burger,Breakfast With BK,60.0,No description available,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,King Egg Double Patty Burger,Breakfast With BK,80.0,No description available,1
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,King Egg with Cheese,Breakfast With BK,80.0,No description available,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,King Egg Wrap,Breakfast With BK,80.0,"A fresh and fluffy  egg patty loaded with juicy veggies, topped with a delightful spicy sauce, wrapped in a grilled paratha",0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Chicken Tandoor Grill Burger,New Kings Collection Burgers,149.0,"Desiness Alert! Flame grilled Tandoori Chicken, mint sauce with fresh onion  with our unique corn dust buns. An indulgent treat from our King's Collection!",0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Cheese Melt Down Burger,New Kings Collection Burgers,169.0,"Cheese oozing spicy veg patty, veggies and creamy sauce. An indulgent treat from our King's Collection!",0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Fiery Chicken Burger,New Kings Collection Burgers,179.0,"Too Hot to Handle. Our Spicy & Crunchy Chicken Patty topped with crispy lettuce, juicy tomatoes and creamy sauce with our unique corn dust buns. An indulgent treat from our King's Collection!",1
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Paneer Overload Burger,New Kings Collection Burgers,179.0,"A patty with paneer sandiwched with masala, veggies and creamy sauce. An indulgent treat from our King's Collection!",0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Anytime Combo (Veg),Home Delight Combos,476.0,2 Crispy Veg Double Patty+ 1 King Peri Peri Fries + 1 Veggie Strips + 2 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Anytime Combo (Chicken),Home Delight Combos,594.0,2 Crispy Chicken Double Patty + 1King Peri Peri Fries + 1 Chicken Fries + 2 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,WFH Combo (Veg),Home Delight Combos,694.0,2Veg Whopper + 1King Peri Peri Fries + 1 Veggie Strips +1 Chocolate Shake +1 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,2 Cheese Meltdown + 1King Fries + 2 Med Pepsi,Home Delight Combos,595.0,2 Cheese Meltdown + 1King Fries + 2 Med Pepsi,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,2 Fiery Chicken + 1King Fries + 2 Med Pepsi,Home Delight Combos,615.0,2 Fiery Chicken + 1King Fries + 2 Med Pepsi,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Mini Treat Combo (Veg),Home Delight Combos,606.0,1 Classic Veg + 2 Crispy Veg Double + 2 Medium Fries + 1 Veggie Strips + 2 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Mini Treat Combo (Chicken),Home Delight Combos,673.0,1 Classic Chicken + 2 Crispy Chicken Double Patty + 1 King Fries + 1Chicken Fries + 2 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Binge Combo ( Veg),Home Delight Combos,676.0,1 Veg Whopper + 2Crispy Veg Double+ 2 medium Fries + 1 Veggie Strips + 2 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Binge Combo ( Chicken ),Home Delight Combos,745.0,1 Chicken Whopper + 2 Crispy Chicken + 1 King Fries + Regular Boneless + 2 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Chillax Combo (Veg),Home Delight Combos,773.0,2 Classic Veg + 2 Crispy Veg + 2 Medium Fries + 2 Veggie Strips + 3 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,2 Veg Whopper + 1Cheese Meltdown,Friends & Family Combo,467.0,2 Veg Whopper + 1Cheese Meltdown,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,2 Cheese Meltdown + 1Classic Veg,Friends & Family Combo,417.0,2 Cheese Meltdown + 1Classic Veg,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,2 Chicken Whopper +1Fiery Chicken,Friends & Family Combo,537.0,2 Chicken Whopper +1Fiery Chicken,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,2 Fiery Chicken +1Classic Chicken,Friends & Family Combo,457.0,2 Fiery Chicken +1Classic Chicken,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,BK Classic Chicken + BK Classic Chicken,Friends & Family Combo,198.0,BK Classic Chicken + BK Classic Chicken,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Chicken Makhani Burst + Lite Whopper Jr Chicken,Friends & Family Combo,199.0,Chicken Makhani Burst + Lite Whopper Jr Chicken,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Crispy Chicken Double Patty + Crispy Chicken Double Patty,Friends & Family Combo,238.0,Crispy Chicken Double Patty + Crispy Chicken Double Patty,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Chicken Whopper + Chicken Whopper,Friends & Family Combo,358.0,Chicken Whopper + Chicken Whopper,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Twisted Whopper Veg + Twisted Whopper Veg,Friends & Family Combo,398.0,Twisted Whopper Veg + Twisted Whopper Veg,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,Twisted Whopper Chicken + Twisted Whopper Chicken,Friends & Family Combo,438.0,Twisted Whopper Chicken + Twisted Whopper Chicken,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,2 Chicken Whopper + 2 Crispy Chicken + 5pc- Chicken Sticks + 1 King Fries + 4 Pepsi,Friends & Family Combo,1012.0,2 Chicken Whopper + 2 Crispy Chicken + 1 Chicken Fries + 1 King Fries + 4 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,2 Veg Whopper + 2Crispy Veg + 5pc Veggie Strips + 1 King Fries + 4 Medium Pepsi,Friends & Family Combo,872.0,2 Veg Whopper + 2 Crispy Veg + 5pc Veggie Strips + 1 King Fries + 4 Pepsi (M),0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,1 Crispy Chicken + 1 Chocolate Thick Shake,Friends & Family Combo,218.0,1 Crispy Chicken + 1 Chocolate Thick Shake,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,1 Chicken Whopper + 1 Chocolate Thick Shake,Friends & Family Combo,328.0,1 Chicken Whopper + 1 Chocolate Thick Shake,0
Burger King,"Opposite To West Side, Shivaji Nagar",4.2,1000,1 Crispy Veg + 1 Chocolate Thick Shake,Friends & Family Combo,204.0,1 Crispy Veg + 1 Chocolate Thick Shake,0
